Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Mikal Bridges,SG,26.0,2TM,83.0,83.0,35.7,0.468,0.382,0.895,4.4,3.3,1.1,0.7,1.5,1.9,20.1,16.8,0.587,22.6,4.4,3.1,7.5,0.121,1.5,0.2,1.7,2.8,20100000,2963.0
Jordan Poole,PG,23.0,GSW,82.0,43.0,30.0,0.43,0.336,0.87,2.7,4.5,0.8,0.3,3.1,2.6,20.4,14.6,0.573,29.2,1.4,1.9,3.2,0.063,-0.1,-1.8,-1.9,0.1,3901399,2460.0
Nikola Vučević,C,32.0,CHI,82.0,82.0,33.5,0.52,0.349,0.835,11.0,3.2,0.7,0.7,1.7,2.2,17.6,19.1,0.594,21.9,3.9,4.4,8.3,0.145,1.9,0.7,2.7,3.2,22000000,2747.0
Harrison Barnes,PF,30.0,SAC,82.0,82.0,32.5,0.473,0.374,0.847,4.5,1.6,0.7,0.1,1.0,1.3,15.0,14.1,0.632,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1.0,0.7,18352273,2665.0
Isaiah Hartenstein,C,24.0,NYK,82.0,8.0,19.8,0.535,0.216,0.676,6.5,1.2,0.6,0.8,0.8,2.6,5.0,14.2,0.567,11.2,2.2,2.4,4.6,0.136,-1.5,1.2,-0.3,0.7,7804879,1624.0
KJ Martin,SF,22.0,HOU,82.0,49.0,28.0,0.569,0.315,0.68,5.5,1.5,0.5,0.4,1.1,1.8,12.7,15.4,0.635,16.4,4.2,0.7,4.9,0.103,0.6,-1.3,-0.7,0.7,1782621,2296.0
Patrick Williams,PF,21.0,CHI,82.0,65.0,28.3,0.464,0.415,0.857,4.0,1.2,0.9,0.9,1.2,1.8,10.2,11.2,0.576,15.7,0.5,3.0,3.5,0.072,-1.7,0.4,-1.3,0.4,7775400,2321.0
Kevon Looney,C,26.0,GSW,82.0,70.0,23.9,0.63,0.0,0.606,9.3,2.5,0.6,0.6,0.5,2.7,7.0,17.8,0.639,10.6,5.9,2.8,8.7,0.212,0.9,1.3,2.1,2.0,8000000,1960.0
Derrick White,SG,28.0,BOS,82.0,70.0,28.3,0.462,0.381,0.875,3.6,3.9,0.7,0.9,1.2,2.2,12.4,15.4,0.604,17.7,4.4,3.1,7.4,0.154,1.1,1.3,2.4,2.6,16892857,2321.0
Tari Eason,PF,21.0,HOU,82.0,5.0,21.5,0.448,0.343,0.752,6.0,1.1,1.2,0.6,1.2,2.3,9.3,15.2,0.525,19.3,0.9,1.7,2.6,0.07,-1.3,-0.4,-1.7,0.1,3309160,1763.0
