Player Name,season,Team,Position,Age,Salary,fair_salary,residual_dollars,residual_pct,PTS,AST,TRB,WS,PER,VORP,IF_label,IF_score,LOF_label,LOF_score
Gordon Hayward,2023-24,2TM,SF,33.0,31500000,12665754.695400262,18834245.30459974,0.13846571709221178,9.8,3.1,3.5,1.5,12.8,0.0,1,0.07331784747358144,1,-1.0762604794998674
Otto Porter Jr.,2020-21,2TM,SF,27.0,28489237,11898194.733479535,16591042.266520465,0.1520161468436913,9.7,2.0,5.4,1.3,14.5,0.3,1,0.07327255307732738,1,-1.147305932205884
Jaylen Brown,2024-25,BOS,SF,28.0,49205800,32852283.78759076,16353516.21240924,0.11632227652722307,22.2,4.5,5.8,5.2,17.8,1.1,1,0.04690477122399361,1,-0.9987005735792976
Klay Thompson,2023-24,GSW,SF,33.0,43219440,26880806.982366767,16338633.017633233,0.12011845977924901,17.9,2.3,3.3,3.6,13.9,0.9,1,0.05723003206175736,1,-1.0919317453358797
Khris Middleton,2022-23,MIL,SF,31.0,37948276,22319524.185125396,15628751.814874604,0.12638997060268167,15.1,4.9,4.2,1.9,17.4,0.6,1,0.026727575024139527,-1,-1.200374036050303
Paul Millsap,2019-20,DEN,PF,34.0,30350000,15028819.279290996,15321180.720709004,0.14038098516317576,11.6,1.6,5.7,3.5,16.9,0.7,1,0.06572241918258076,1,-1.0302194134562517
Steven Adams,2020-21,NOP,C,27.0,29592696,14305265.403677547,15287430.596322453,0.14007174817960832,7.6,1.9,8.9,4.0,15.1,0.7,1,0.07174222985094042,1,-1.0093236312231428
Lauri Markkanen,2024-25,UTA,PF,27.0,42176400,27115833.79094884,15060566.209051158,0.10712554563014737,19.0,1.5,5.9,2.2,15.6,0.7,1,0.08104630176658867,1,-1.014306331604247
Jamal Murray,2020-21,DEN,PG,23.0,27285000,12501516.319416273,14783483.680583727,0.1354543126313334,21.2,4.8,4.0,4.6,18.3,1.7,1,0.0551978096964596,1,-0.9673983352529631
Fred VanVleet,2024-25,HOU,PG,30.0,42846615,28063315.37416829,14783299.625831708,0.10515335324374561,14.1,5.6,3.7,5.2,12.8,1.5,1,0.04800242252258469,1,-1.0549230120197215
Bradley Beal,2024-25,PHO,SG,31.0,50203930,35435272.68761132,14768657.31238868,0.10504920272276924,17.0,3.7,3.3,2.4,15.2,0.4,1,0.08182946989465778,1,-1.0160306452450523
