Player Name,Salary,Position,Age,Team,GP,MP,PTS,AST,TRB,WS,PER,USG%,BPM,VORP,log_salary,salary_per_WS,pts_per_dollar,PER_salary_ratio,IF_label,IF_score,LOF_label,LOF_score
Stephen Curry,48070014,PG,34,GSW,56,34.7,29.4,6.3,6.1,7.8,24.1,31.0,7.5,4.7,17.68816913111204,5462501.590909091,0.6116078934364363,0.5013520487012965,-1,-0.03066837074970219,1,-1.0717801591265752
John Wall,47345760,PG,32,LAC,34,22.2,11.4,5.2,2.7,0.3,13.6,27.0,-1.2,0.1,17.672987827652356,36419815.384615384,0.24078185670691526,0.2872485308082498,-1,-0.1021184350401948,-1,-3.771632353149672
Russell Westbrook,47080179,PG,34,LAL/LAC,73,29.1,15.9,7.5,5.8,1.9,16.1,27.7,0.2,1.2,17.667362642388206,16234544.48275862,0.3377217406076557,0.3419698128165571,-1,-0.035661205468007884,-1,-1.5180992679204954
LeBron James,44474988,PF,38,LAL,55,35.5,28.9,6.8,8.3,5.6,23.9,33.3,6.1,4.0,17.610437521701634,6738634.545454546,0.6498034355849629,0.5373806958643811,-1,-0.04822843758373796,1,-1.0844130409561363
Kevin Durant,44119845,PF,34,BRK/PHO,47,35.6,29.1,5.0,6.7,6.8,25.9,30.7,7.1,3.9,17.60242023919744,5656390.384615385,0.659567140365067,0.5870374204623793,-1,-0.014215430879374047,1,-1.0488339803671571
Bradley Beal,43279250,SG,29,WAS,50,33.5,23.2,5.4,3.9,3.4,19.7,29.2,1.8,1.6,17.583183863332017,9836193.181818182,0.5360536515766794,0.455183488623301,1,0.014468018378825387,1,-1.0764938474498968
Kawhi Leonard,42492492,SF,31,LAC,52,33.6,23.8,3.9,6.5,7.1,23.9,27.0,6.1,3.5,17.56483795946511,5245986.666666667,0.5600989464209348,0.5624523033386698,1,0.01613037878126905,1,-1.0137290414252953
Paul George,42492492,SF,32,LAC,56,34.6,23.8,5.1,6.1,4.6,19.6,29.5,2.8,2.3,17.56483795946511,7587945.000000001,0.5600989464209348,0.461257955876064,1,0.028248651313742934,1,-0.9971326304221015
Giannis Antetokounmpo,42492492,PF,28,MIL,63,32.1,31.1,5.7,11.8,8.6,29.0,38.8,8.5,5.4,17.56483795946511,4426301.25,0.7318940014155914,0.6824735061431558,-1,-0.11774991180159844,-1,-1.2690920468198053
Damian Lillard,42492492,PG,32,POR,58,36.3,32.2,7.3,4.8,9.0,26.7,33.8,7.1,4.9,17.56483795946511,4249249.2,0.7577809275106766,0.6283462970352504,-1,-0.05427035002971348,1,-1.1315429873657277
Klay Thompson,40600080,SF,32,GSW,69,33.0,21.9,2.4,4.1,3.1,14.7,26.4,-0.3,1.0,17.51928059501337,9902458.536585366,0.5394078041225534,0.3620682520822619,1,0.02105953016762785,1,-1.113732965397888
Kyrie Irving,38917057,PG-SG,30,BRK/DAL,60,37.4,27.1,5.5,5.1,7.4,22.4,28.9,4.1,3.5,17.47694319577346,4632982.976190476,0.6963527586374273,0.5755830920102719,1,0.03691552972376316,1,-1.0159822845332287
Rudy Gobert,38172414,C,30,MIN,70,30.7,13.4,1.2,11.6,7.8,18.9,16.3,0.7,1.4,17.457623666106493,4337774.318181817,0.351038841819121,0.49512194853592434,-1,-0.008880964586190032,1,-1.1213411248816152
Khris Middleton,37984276,SF,31,MIL,33,24.3,15.1,4.9,4.2,1.9,17.4,27.4,0.8,0.6,17.452682842582487,13098026.206896553,0.39753291598871066,0.45808428729824935,1,0.012120977891037332,-1,-1.2313208612531779
Anthony Davis,37980720,C,29,LAL,56,34.0,25.9,2.6,12.5,9.0,27.8,28.4,6.3,4.0,17.452589220514696,3798072.0,0.681924934545738,0.7319503158444601,-1,-0.05797144014682054,-1,-1.2298493861553266
Jimmy Butler,37653300,PF,33,MIA,64,33.4,22.9,5.3,5.9,12.3,27.6,25.6,8.7,5.8,17.443931157771583,2831075.187969925,0.6081804250889031,0.7330034817665384,-1,-0.07305568704651877,1,-1.224808412248748
Tobias Harris,37633050,SF,30,PHI,74,32.9,14.7,2.5,5.7,5.9,14.8,18.2,0.7,1.7,17.443393211636902,5454065.217391304,0.3906141011690522,0.3932713399525152,1,0.06337084132816129,1,-1.0166963995456686
Trae Young,37096500,PG,24,ATL,73,34.8,26.2,10.2,3.0,6.7,22.0,32.6,3.3,3.4,17.42903318350476,4817727.2727272725,0.7062660897928376,0.593047861658108,-1,-0.016685666383267628,1,-1.1317263630412007
Zach LaVine,37096500,SG,27,CHI,77,35.9,24.8,4.2,4.5,7.1,19.0,28.3,1.9,2.7,17.42903318350476,4579814.814814815,0.6685266804145944,0.5121776987047296,1,0.05684695518920602,1,-0.9766249705929597
Ben Simmons,35448672,PG,26,BRK,42,26.3,6.9,6.1,6.3,2.2,13.4,14.3,0.4,0.7,17.383596349027744,11077710.0,0.19464763024126827,0.37801133988883984,-1,-0.017455059055453415,-1,-1.4684913078203077
Pascal Siakam,35448672,PF,28,TOR,71,37.4,24.2,5.8,7.8,7.8,20.3,27.2,3.1,3.4,17.383596349027744,4028258.1818181816,0.682677195918651,0.5726589701301081,1,0.03691822972684866,1,-1.0007522091106478
Myles Turner,35096500,C,26,IND,62,29.4,18.0,1.4,7.5,5.4,20.0,22.0,2.1,1.9,17.373611968364497,5483828.125,0.5128716538686194,0.5698573931873548,1,0.04508004322377085,1,-1.0448635711752652
